id,title,tagline,release_date,genres,director,cast,belongs_to_collection,original_language,budget_musd,revenue_musd,production_companies,production_countries,vote_count,vote_average,popularity,runtime,overview,spoken_languages,poster_path
299534,Avengers: Endgame,Avenge the fallen.,2019-04-24,Adventure | Science Fiction | Action,Anthony Russo | Joe Russo,Robert Downey Jr. | Chris Evans | Mark Ruffalo | Chris Hemsworth | Scarlett Johansson,The Avengers Collection,en,356.0,2799.4391,Marvel Studios,United States of America,26868,8.237,16.4452,181.0,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",English | Japanese | Xhosa,/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg
19995,Avatar,Enter the world of Pandora.,2009-12-15,Action | Adventure | Fantasy | Science Fiction,James Cameron,Sam Worthington | Zoe Saldaña | Sigourney Weaver | Stephen Lang | Michelle Rodriguez,Avatar Collection,en,237.0,2923.706026,Dune Entertainment | Lightstorm Entertainment | 20th Century Fox | Ingenious Media,United States of America | United Kingdom,32748,7.6,26.9729,162.0,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",English | Spanish,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg
140607,Star Wars: The Force Awakens,Every generation has a story.,2015-12-15,Adventure | Action | Science Fiction,J.J. Abrams,Harrison Ford | Mark Hamill | Carrie Fisher | Adam Driver | Daisy Ridley,Star Wars Collection,en,245.0,2068.223624,Lucasfilm Ltd. | Bad Robot,United States of America,20037,7.254,11.2373,136.0,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",English,/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg
299536,Avengers: Infinity War,Destiny arrives all the same.,2018-04-25,Adventure | Action | Science Fiction,Joe Russo | Anthony Russo,Robert Downey Jr. | Chris Evans | Chris Hemsworth | Josh Brolin | Mark Ruffalo,The Avengers Collection,en,300.0,2052.415039,Marvel Studios,United States of America,31083,8.235,30.5675,149.0,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",English | Xhosa,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
597,Titanic,Nothing on earth could come between them.,1997-11-18,Drama | Romance,James Cameron,Leonardo DiCaprio | Kate Winslet | Billy Zane | Kathy Bates | Frances Fisher,,en,200.0,2264.162353,Paramount Pictures | 20th Century Fox | Lightstorm Entertainment,United States of America,26428,7.904,28.3117,194.0,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",English | French | German | Swedish | Italian | Russian,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg
135397,Jurassic World,The park is open.,2015-06-06,Action | Adventure | Science Fiction | Thriller,Colin Trevorrow,Chris Pratt | Bryce Dallas Howard | Irrfan Khan | Vincent D'Onofrio | Ty Simpkins,Jurassic Park Collection,en,150.0,1671.537444,Amblin Entertainment | Universal Pictures | Legendary Pictures,United States of America,21081,6.7,12.5716,124.0,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",English,/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg
420818,The Lion King,The king has returned.,2019-07-12,Adventure | Drama | Family | Animation,Jon Favreau,Chiwetel Ejiofor | John Oliver | Donald Glover | James Earl Jones | John Kani,The Lion King (Reboot) Collection,en,260.0,1662.020819,Walt Disney Pictures | Fairview Entertainment,United States of America,10532,7.104,12.2384,118.0,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",English,/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg
24428,The Avengers,Some assembly required.,2012-04-25,Science Fiction | Action | Adventure,Joss Whedon,Robert Downey Jr. | Chris Evans | Mark Ruffalo | Chris Hemsworth | Scarlett Johansson,The Avengers Collection,en,220.0,1518.815515,Marvel Studios,United States of America,33677,7.836,46.0709,143.0,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",English | Hindi | Russian,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
168259,Furious 7,Vengeance hits home.,2015-04-01,Action | Crime | Thriller,James Wan,Vin Diesel | Paul Walker | Jason Statham | Michelle Rodriguez | Jordana Brewster,The Fast and the Furious Collection,en,190.0,1515.4,Original Film | One Race | Universal Pictures,United States of America,10999,7.222,12.4139,139.0,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Arabic | English | Spanish | Thai,/wurKlC3VKUgcfsn0K51MJYEleS2.jpg
99861,Avengers: Age of Ultron,A new age has come.,2015-04-22,Action | Adventure | Science Fiction,Joss Whedon,Robert Downey Jr. | Chris Hemsworth | Mark Ruffalo | Chris Evans | Scarlett Johansson,The Avengers Collection,en,365.0,1405.403694,Marvel Studios,United States of America,23810,7.3,15.4952,141.0,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",English,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg
